sample_id	participant_id	species	status
PTM902-N1-2021.05.27-15.39.29_PTM902_3_0001.jpg	test	phantom	present
PTM902-N1-2021.05.27-15.39.29_PTM902_2_0002.jpg	test	phantom	present
PTM902-N1-2021.05.27-15.39.29_PTM902_1_0003.jpg	test	phantom	present
PTM902-N2-2021.05.27-15.35.39_PTM902_3_0004.jpg	test	phantom	present
PTM902-N2-2021.05.27-15.35.39_PTM902_2_0005.jpg	test	phantom	present
0006.tif	test	phantom	absent
0007.tif	test	phantom	absent
PTM902-N3-2021.05.27-15.43.30_PTM902_2_0008.jpg	test	phantom	present
PTM902-N3-2021.05.27-15.43.30_PTM902_1_0009.jpg	test	phantom	present
PTM902-N4-2021.05.27-16.09.17_PTM902_3_0010.jpg	test	phantom	present
PTM902-N4-2021.05.27-16.09.17_PTM902_2_0011.jpg	test	phantom	present
PTM902-N4-2021.05.27-16.09.17_PTM902_1_0012.jpg	test	phantom	present
PTM902-N5-2021.05.27-16.27.14_PTM902_3_0013.jpg	test	phantom	present
PTM902-N5-2021.05.27-16.27.14_PTM902_2_0014.jpg	test	phantom	present
PTM902-N5-2021.05.27-16.27.14_PTM902_1_0015.jpg	test	phantom	present
PTM902-N6-2021.05.27-16.16.10_PTM902_3_0016.jpg	test	phantom	present
PTM902-N6-2021.05.27-16.16.10_PTM902_2_0017.jpg	test	phantom	present
PTM902-N6-2021.05.27-16.16.10_PTM902_1_0018.jpg	test	phantom	present
PTM902-N7-2021.05.27-16.30.33_PTM902_3_0019.jpg	test	phantom	present
PTM902-N7-2021.05.27-16.30.33_PTM902_2_0020.jpg	test	phantom	present
PTM902-N7-2021.05.27-16.30.33_PTM902_1_0021.jpg	test	phantom	present
PTM902-N8-2021.05.27-16.37.04_PTM902_3_0022.jpg	test	phantom	present
0023.tif	test	phantom	absent
PTM902-N8-2021.05.27-16.37.04_PTM902_1_0024.jpg	test	phantom	present
0025.tif	test	phantom	absent
PTM902-N9-2021.05.27-15.17.16_PTM902_2_0026.jpg	test	phantom	present
0027.tif	test	phantom	absent
PTM902-N10-2021.05.27-16.42.55_PTM902_1_0028.jpg	test	phantom	present
PTM902-N10-2021.05.27-16.42.55_PTM902_2_0029.jpg	test	phantom	present
PTM902-N10-2021.05.27-16.42.55_PTM902_3_0030.jpg	test	phantom	present
PTM902-N11-2021.05.27-16.46.11_PTM902_3_0031.jpg	test	phantom	present
PTM902-N11-2021.05.27-16.46.11_PTM902_2_0032.jpg	test	phantom	present
PTM902-N11-2021.05.27-16.46.11_PTM902_1_0033.jpg	test	phantom	present
PTM902-N12-2021.05.27-16.49.25_PTM902_3_0034.jpg	test	phantom	present
PTM902-N12-2021.05.27-16.49.25_PTM902_2_0035.jpg	test	phantom	present
PTM902-N12-2021.05.27-16.49.25_PTM902_1_0036.jpg	test	phantom	present
PTM902-N13-2021.05.27-16.52.42_PTM902_3_0037.jpg	test	phantom	present
PTM902-N13-2021.05.27-16.52.42_PTM902_2_0038.jpg	test	phantom	present
PTM902-N13-2021.05.27-16.52.42_PTM902_1_0039.jpg	test	phantom	present
PTM902-N14-2021.05.27-16.56.01_PTM902_3_0040.jpg	test	phantom	present
PTM902-N14-2021.05.27-16.56.01_PTM902_2_0041.jpg	test	phantom	present
PTM902-N14-2021.05.27-16.56.01_PTM902_1_0042.jpg	test	phantom	present
PTM902-N15-2021.05.27-16.59.10_PTM902_1_0043.jpg	test	phantom	present
PTM902-N15-2021.05.27-16.59.10_PTM902_2_0044.jpg	test	phantom	present
PTM902-N15-2021.05.27-16.59.10_PTM902_1_0045.jpg	test	phantom	present
PTM902-N16-2021.05.27-16.33.55_PTM902_3_0046.jpg	test	phantom	present
PTM902-N16-2021.05.27-16.33.55_PTM902_2_0047.jpg	test	phantom	present
PTM902-N16-2021.05.27-16.33.55_PTM902_1_0048.jpg	test	phantom	present
PTM902-N17-2021.05.27-17.02.23_PTM902_3_0049.jpg	test	phantom	present
PTM902-N17-2021.05.27-17.02.23_PTM902_2_0050.jpg	test	phantom	present
PTM902-N17-2021.05.27-17.02.23_PTM902_3_0051.jpg	test	phantom	present
PTM902-N18-2021.05.27-17.05.27_PTM902_3_0052.jpg	test	phantom	present
PTM902-N18-2021.05.27-17.05.27_PTM902_2_0053.jpg	test	phantom	present
PTM902-N18-2021.05.27-17.05.27_PTM902_1_0054.jpg	test	phantom	present
PTM902-N19-2021.05.27-17.08.41_PTM902_3_0055.jpg	test	phantom	present
PTM902-N19-2021.05.27-17.08.41_PTM902_2_0056.jpg	test	phantom	present
PTM902-N19-2021.05.27-17.08.41_PTM902_1_0057.jpg	test	phantom	present
PTM902-N20-2021.05.27-17.11.44_PTM902_3_0058.jpg	test	phantom	present
PTM902-N20-2021.05.27-17.11.44_PTM902_2_0059.jpg	test	phantom	present
PTM902-N20-2021.05.27-17.11.44_PTM902_3_0060.jpg	test	phantom	present
PTM902-N21-2021.05.27-17.14.45_PTM902_1_0061.jpg	test	phantom	present
PTM902-N21-2021.05.27-17.14.45_PTM902_2_0062.jpg	test	phantom	present
PTM902-N21-2021.05.27-17.14.45_PTM902_1_0063.jpg	test	phantom	present
PTM902-N22-2021.05.27-17.17.52_PTM902_3_0064.jpg	test	phantom	present
PTM902-N22-2021.05.27-17.17.52_PTM902_2_0065.jpg	test	phantom	present
PTM902-N22-2021.05.27-17.17.52_PTM902_1_0066.jpg	test	phantom	present
PTM902-N23-2021.05.27-17.20.57_PTM902_1_0067.jpg	test	phantom	present
PTM902-N23-2021.05.27-17.20.57_PTM902_2_0068.jpg	test	phantom	present
PTM902-N23-2021.05.27-17.20.57_PTM902_1_0069.jpg	test	phantom	present
PTM902-N24-2021.05.27-17.24.05_PTM902_1_0070.jpg	test	phantom	present
PTM902-N24-2021.05.27-17.24.05_PTM902_2_0071.jpg	test	phantom	present
PTM902-N24-2021.05.27-17.24.05_PTM902_3_0072.jpg	test	phantom	present
PTM902-N25-2021.05.27-17.27.14_PTM902_1_0073.jpg	test	phantom	present
PTM902-N25-2021.05.27-17.27.14_PTM902_2_0074.jpg	test	phantom	present
PTM902-N25-2021.05.27-17.27.14_PTM902_3_0075.jpg	test	phantom	present
PTM902-N26-2021.05.27-17.30.20_PTM902_1_0076.jpg	test	phantom	present
PTM902-N26-2021.05.27-17.30.20_PTM902_2_0077.jpg	test	phantom	present
PTM902-N26-2021.05.27-17.30.20_PTM902_3_0078.jpg	test	phantom	present
PTM902-N27-2021.05.27-17.33.26_PTM902_1_0079.jpg	test	phantom	present
PTM902-N27-2021.05.27-17.33.26_PTM902_2_0080.jpg	test	phantom	present
PTM902-N27-2021.05.27-17.33.26_PTM902_3_0081.jpg	test	phantom	present
PTM902-N28-2021.05.27-17.36.41_PTM902_1_0082.jpg	test	phantom	present
PTM902-N28-2021.05.27-17.36.41_PTM902_2_0083.jpg	test	phantom	present
PTM902-N28-2021.05.27-17.36.41_PTM902_3_0084.jpg	test	phantom	present
PTM902-N29-2021.05.27-17.39.47_PTM902_1_0085.jpg	test	phantom	present
PTM902-N29-2021.05.27-17.39.47_PTM902_2_0086.jpg	test	phantom	present
PTM902-N29-2021.05.27-17.39.47_PTM902_3_0087.jpg	test	phantom	present
PTM902-N30-2021.05.27-17.42.54_PTM902_1_0088.jpg	test	phantom	present
PTM902-N30-2021.05.27-17.42.54_PTM902_2_0089.jpg	test	phantom	present
PTM902-N30-2021.05.27-17.42.54_PTM902_3_0090.jpg	test	phantom	present
PTM902-N31-2021.05.27-17.46.19_PTM902_3_0091.jpg	test	phantom	present
PTM902-N31-2021.05.27-17.46.19_PTM902_2_0092.jpg	test	phantom	present
PTM902-N31-2021.05.27-17.46.19_PTM902_1_0093.jpg	test	phantom	present
PTM902-N32-2021.05.27-17.49.34_PTM902_1_0094.jpg	test	phantom	present
PTM902-N32-2021.05.27-17.49.34_PTM902_2_0095.jpg	test	phantom	present
PTM902-N32-2021.05.27-17.49.34_PTM902_1_0096.jpg	test	phantom	present
PTM902-N33-2021.05.27-17.52.56_PTM902_3_0097.jpg	test	phantom	present
PTM902-N33-2021.05.27-17.52.56_PTM902_2_0098.jpg	test	phantom	present
PTM902-N33-2021.05.27-17.52.56_PTM902_1_0099.jpg	test	phantom	present
PTM902-N34-2021.05.27-17.56.11_PTM902_1_0100.jpg	test	phantom	present
PTM902-N34-2021.05.27-17.56.11_PTM902_2_0101.jpg	test	phantom	present
PTM902-N34-2021.05.27-17.56.11_PTM902_3_0102.jpg	test	phantom	present
PTM902-N35-2021.05.27-17.59.26_PTM902_1_0103.jpg	test	phantom	present
PTM902-N35-2021.05.27-17.59.26_PTM902_2_0104.jpg	test	phantom	present
PTM902-N35-2021.05.27-17.59.26_PTM902_3_0105.jpg	test	phantom	present
PTM902-N36-2021.05.27-18.02.44_PTM902_1_0106.jpg	test	phantom	present
PTM902-N36-2021.05.27-18.02.44_PTM902_2_0107.jpg	test	phantom	present
PTM902-N36-2021.05.27-18.02.44_PTM902_1_0108.jpg	test	phantom	present
PTM902-N37-2021.05.27-18.06.06_PTM902_1_0109.jpg	test	phantom	present
PTM902-N37-2021.05.27-18.06.06_PTM902_2_0110.jpg	test	phantom	present
PTM902-N37-2021.05.27-18.06.06_PTM902_3_0111.jpg	test	phantom	present
PTM902-N38-2021.05.27-18.09.23_PTM902_1_0112.jpg	test	phantom	present
PTM902-N38-2021.05.27-18.09.23_PTM902_2_0113.jpg	test	phantom	present
PTM902-N38-2021.05.27-18.09.23_PTM902_3_0114.jpg	test	phantom	present
PTM902-N39-2021.05.27-18.12.40_PTM902_1_0115.jpg	test	phantom	present
PTM902-N39-2021.05.27-18.12.40_PTM902_2_0116.jpg	test	phantom	present
PTM902-N39-2021.05.27-18.12.40_PTM902_1_0117.jpg	test	phantom	present
PTM902-N40-2021.05.27-18.16.03_PTM902_3_0118.jpg	test	phantom	present
PTM902-N40-2021.05.27-18.16.03_PTM902_2_0119.jpg	test	phantom	present
PTM902-N40-2021.05.27-18.16.03_PTM902_3_0120.jpg	test	phantom	present
PTM902-N41-2021.05.27-18.19.32_PTM902_3_0121.jpg	test	phantom	present
PTM902-N41-2021.05.27-18.19.32_PTM902_2_0122.jpg	test	phantom	present
PTM902-N41-2021.05.27-18.19.32_PTM902_1_0123.jpg	test	phantom	present
PTM902-N42-2021.05.27-18.22.57_PTM902_3_0124.jpg	test	phantom	present
PTM902-N42-2021.05.27-18.22.57_PTM902_2_0125.jpg	test	phantom	present
PTM902-N42-2021.05.27-18.22.57_PTM902_1_0126.jpg	test	phantom	present
PTM902-N43-2021.05.27-18.26.13_PTM902_3_0127.jpg	test	phantom	present
PTM902-N43-2021.05.27-18.26.13_PTM902_2_0128.jpg	test	phantom	present
PTM902-N43-2021.05.27-18.26.13_PTM902_1_0129.jpg	test	phantom	present
PTM902-N44-2021.05.27-18.29.30_PTM902_3_0130.jpg	test	phantom	present
PTM902-N44-2021.05.27-18.29.30_PTM902_2_0131.jpg	test	phantom	present
PTM902-N44-2021.05.27-18.29.30_PTM902_1_0132.jpg	test	phantom	present
PTM902-N45-2021.05.27-18.32.46_PTM902_3_0133.jpg	test	phantom	present
PTM902-N45-2021.05.27-18.32.46_PTM902_2_0134.jpg	test	phantom	present
PTM902-N45-2021.05.27-18.32.46_PTM902_1_0135.jpg	test	phantom	present
PTM902-N46-2021.05.27-18.36.22_PTM902_3_0136.jpg	test	phantom	present
PTM902-N46-2021.05.27-18.36.22_PTM902_2_0137.jpg	test	phantom	present
PTM902-N46-2021.05.27-18.36.22_PTM902_1_0138.jpg	test	phantom	present
PTM902-N47-2021.05.27-18.39.46_PTM902_3_0139.jpg	test	phantom	present
PTM902-N47-2021.05.27-18.39.46_PTM902_2_0140.jpg	test	phantom	present
PTM902-N47-2021.05.27-18.39.46_PTM902_1_0141.jpg	test	phantom	present
PTM902-N48-2021.05.27-18.43.11_PTM902_3_0142.jpg	test	phantom	present
PTM902-N48-2021.05.27-18.43.11_PTM902_2_0143.jpg	test	phantom	present
PTM902-N48-2021.05.27-18.43.11_PTM902_1_0144.jpg	test	phantom	present
PTM902-N49-2021.05.27-18.46.28_PTM902_3_0145.jpg	test	phantom	present
PTM902-N49-2021.05.27-18.46.28_PTM902_2_0146.jpg	test	phantom	present
PTM902-N49-2021.05.27-18.46.28_PTM902_1_0147.jpg	test	phantom	present
PTM902-N50-2021.05.27-18.49.42_PTM902_3_0148.jpg	test	phantom	present
PTM902-N50-2021.05.27-18.49.42_PTM902_2_0149.jpg	test	phantom	present
PTM902-N50-2021.05.27-18.49.42_PTM902_1_0150.jpg	test	phantom	present
PTM902-N51-2021.05.27-18.53.03_PTM902_3_0151.jpg	test	phantom	present
PTM902-N51-2021.05.27-18.53.03_PTM902_2_0152.jpg	test	phantom	present
PTM902-N51-2021.05.27-18.53.03_PTM902_1_0153.jpg	test	phantom	present
PTM902-N52-2021.05.27-18.56.18_PTM902_3_0154.jpg	test	phantom	present
PTM902-N52-2021.05.27-18.56.18_PTM902_2_0155.jpg	test	phantom	present
PTM902-N52-2021.05.27-18.56.18_PTM902_1_0156.jpg	test	phantom	present
PTM902-N53-2021.05.27-18.59.35_PTM902_3_0157.jpg	test	phantom	present
PTM902-N53-2021.05.27-18.59.35_PTM902_2_0158.jpg	test	phantom	present
PTM902-N53-2021.05.27-18.59.35_PTM902_1_0159.jpg	test	phantom	present
PTM902-N54-2021.05.27-19.02.49_PTM902_3_0160.jpg	test	phantom	present
PTM902-N54-2021.05.27-19.02.49_PTM902_2_0161.jpg	test	phantom	present
PTM902-N54-2021.05.27-19.02.49_PTM902_1_0162.jpg	test	phantom	present
PTM902-N55-2021.05.27-19.06.04_PTM902_3_0163.jpg	test	phantom	present
PTM902-N55-2021.05.27-19.06.04_PTM902_2_0164.jpg	test	phantom	present
PTM902-N55-2021.05.27-19.06.04_PTM902_1_0165.jpg	test	phantom	present
PTM902-N56-2021.05.27-19.09.21_PTM902_3_0166.jpg	test	phantom	present
PTM902-N56-2021.05.27-19.09.21_PTM902_2_0167.jpg	test	phantom	present
PTM902-N56-2021.05.27-19.09.21_PTM902_1_0168.jpg	test	phantom	present
PTM902-N57-2021.05.27-19.12.35_PTM902_3_0169.jpg	test	phantom	present
PTM902-N57-2021.05.27-19.12.35_PTM902_2_0170.jpg	test	phantom	present
PTM902-N57-2021.05.27-19.12.35_PTM902_1_0171.jpg	test	phantom	present
PTM902-N58-2021.05.27-19.15.52_PTM902_3_0172.jpg	test	phantom	present
PTM902-N58-2021.05.27-19.15.52_PTM902_2_0173.jpg	test	phantom	present
PTM902-N58-2021.05.27-19.15.52_PTM902_1_0174.jpg	test	phantom	present
PTM902-N59-2021.05.27-19.19.07_PTM902_3_0175.jpg	test	phantom	present
PTM902-N59-2021.05.27-19.19.07_PTM902_2_0176.jpg	test	phantom	present
PTM902-N59-2021.05.27-19.19.07_PTM902_1_0177.jpg	test	phantom	present
PTM902-N60-2021.05.27-19.22.52_PTM902_3_0178.jpg	test	phantom	present
PTM902-N60-2021.05.27-19.22.52_PTM902_2_0179.jpg	test	phantom	present
PTM902-N60-2021.05.27-19.22.52_PTM902_1_0180.jpg	test	phantom	present
PTM902-N61-2021.05.27-19.26.18_PTM902_3_0181.jpg	test	phantom	present
PTM902-N61-2021.05.27-19.26.18_PTM902_2_0182.jpg	test	phantom	present
PTM902-N61-2021.05.27-19.26.18_PTM902_1_0183.jpg	test	phantom	present
PTM902-N62-2021.05.27-19.30.51_PTM902_3_0184.jpg	test	phantom	present
PTM902-N62-2021.05.27-19.30.51_PTM902_2_0185.jpg	test	phantom	present
PTM902-N62-2021.05.27-19.30.51_PTM902_1_0186.jpg	test	phantom	present
PTM902-N63-2021.05.27-19.35.16_PTM902_3_0187.jpg	test	phantom	present
PTM902-N63-2021.05.27-19.35.16_PTM902_2_0188.jpg	test	phantom	present
PTM902-N63-2021.05.27-19.35.16_PTM902_1_0189.jpg	test	phantom	present
PTM902-N64-2021.05.27-19.39.37_PTM902_3_0190.jpg	test	phantom	present
PTM902-N64-2021.05.27-19.39.37_PTM902_2_0191.jpg	test	phantom	present
PTM902-N64-2021.05.27-19.39.37_PTM902_1_0192.jpg	test	phantom	present
PTM902-N65-2021.05.27-19.44.25_PTM902_3_0193.jpg	test	phantom	present
PTM902-N65-2021.05.27-19.44.25_PTM902_2_0194.jpg	test	phantom	present
PTM902-N65-2021.05.27-19.44.25_PTM902_1_0195.jpg	test	phantom	present
PTM902-N66-2021.05.27-19.48.50_PTM902_3_0196.jpg	test	phantom	present
PTM902-N66-2021.05.27-19.48.50_PTM902_2_0197.jpg	test	phantom	present
PTM902-N66-2021.05.27-19.48.50_PTM902_1_0198.jpg	test	phantom	present
PTM902-N67-2021.05.27-19.52.39_PTM902_3_0199.jpg	test	phantom	present
PTM902-N67-2021.05.27-19.52.39_PTM902_2_0200.jpg	test	phantom	present
PTM902-N67-2021.05.27-19.52.39_PTM902_1_0201.jpg	test	phantom	present
PTM902-N68-2021.05.27-19.56.29_PTM902_3_0202.jpg	test	phantom	present
PTM902-N68-2021.05.27-19.56.29_PTM902_2_0203.jpg	test	phantom	present
PTM902-N68-2021.05.27-19.56.29_PTM902_1_0204.jpg	test	phantom	present
PTM902-N69-2021.05.27-20.00.20_PTM902_3_0205.jpg	test	phantom	present
PTM902-N69-2021.05.27-20.00.20_PTM902_2_0206.jpg	test	phantom	present
PTM902-N69-2021.05.27-20.00.20_PTM902_1_0207.jpg	test	phantom	present
PTM902-N70-2021.05.27-20.04.09_PTM902_3_0208.jpg	test	phantom	present
PTM902-N70-2021.05.27-20.04.09_PTM902_2_0209.jpg	test	phantom	present
PTM902-N70-2021.05.27-20.04.09_PTM902_1_0210.jpg	test	phantom	present
PTM902-N71-2021.05.27-20.08.00_PTM902_3_0211.jpg	test	phantom	present
PTM902-N71-2021.05.27-20.08.00_PTM902_2_0212.jpg	test	phantom	present
PTM902-N71-2021.05.27-20.08.00_PTM902_1_0213.jpg	test	phantom	present
PTM902-N72-2021.05.27-20.11.56_PTM902_3_0214.jpg	test	phantom	present
PTM902-N72-2021.05.27-20.11.56_PTM902_2_0215.jpg	test	phantom	present
PTM902-N72-2021.05.27-20.11.56_PTM902_1_0216.jpg	test	phantom	present
PTM902-N73-2021.05.27-20.16.17_PTM902_3_0217.jpg	test	phantom	present
PTM902-N73-2021.05.27-20.16.17_PTM902_2_0218.jpg	test	phantom	present
PTM902-N73-2021.05.27-20.16.17_PTM902_1_0219.jpg	test	phantom	present
PTM902-N74-2021.05.27-20.20.15_PTM902_3_0220.jpg	test	phantom	present
PTM902-N74-2021.05.27-20.20.15_PTM902_2_0221.jpg	test	phantom	present
PTM902-N74-2021.05.27-20.20.15_PTM902_1_0222.jpg	test	phantom	present
PTM902-N75-2021.05.27-20.24.17_PTM902_3_0223.jpg	test	phantom	present
PTM902-N75-2021.05.27-20.24.17_PTM902_2_0224.jpg	test	phantom	present
PTM902-N75-2021.05.27-20.24.17_PTM902_1_0225.jpg	test	phantom	present
